platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.02588444,0.02666401,0.02734126,0.02624536,0.02615723,0.02524344,0.02443118,0,0.02599528,0.02599528,5
0.0706012,0.07136728,0.04378774,0.0434663,0.07080314,0.06928938,0.06562388,0.02599528,0.0701066,0.06213413,9
0.09443907,0.09416591,0.04587732,0.04869015,0.09216914,0.09311403,0.08642358,0.06213413,0.08535451,0.07926846,5
0.1238989,0.09840418,0.04569102,0.05012487,0.1185558,0.1228953,0.1145392,0.07926846,0.1071889,0.09630133,6
0.1316085,0.1073174,0.02785848,0.03523584,0.1265869,0.1305015,0.1235884,0.09630133,0.1049424,0.09752815,2
0.1524107,0.1309992,0.03458795,0.03323311,0.1514698,0.1493012,0.1470041,0.09752815,0.1207371,0.1141437,5
0.163832,0.1210321,0.0218178,0.02683847,0.1656639,0.1608092,0.1614334,0.1141437,0.1277609,0.1173467,3
0.181554,0.1406159,0.04048965,0.04528427,0.1815639,0.1785501,0.1804513,0.1173467,0.1355013,0.1355013,4
0.1901236,0.124975,0.02272074,0.03215416,0.1887137,0.1864185,0.1884066,0.1355013,0.1438608,0.1333589,2
0.2025942,0.1387331,0.03813702,0.04823703,0.1789618,0.1988022,0.2009613,0.1333589,0.1470835,0.1437752,3
0.2177962,0.1548697,0.05787299,0.06584434,0.1725899,0.2168474,0.2206083,0.1437752,0.1617498,0.1580613,4
0.2241814,0.1627474,0.0670299,0.07542109,0.1574056,0.2253182,0.2277476,0.1580613,0.1661778,0.1628359,2
0.2529883,0.1890271,0.09973169,0.1052328,0.1666631,0.2559679,0.2570509,0.1628359,0.1925336,0.1895231,7
0.2553658,0.1919786,0.1036033,0.1090445,0.1497582,0.2583206,0.2593947,0.1895231,0.1925058,0.1896379,1
0.2676059,0.1763995,0.09546273,0.09715812,0.163761,0.2692466,0.2700921,0.1896379,0.2022714,0.1913894,3
0.2698636,0.1558999,0.07168406,0.07599848,0.1669602,0.2714911,0.2723298,0.1913894,0.1943653,0.183461,1
0.2968389,0.1879072,0.07999379,0.09356868,0.2013634,0.3060142,0.3009143,0.183461,0.2175428,0.2095143,8
0.2988699,0.1632553,0.0840831,0.0975078,0.2041981,0.3079777,0.3029152,0.2095143,0.2123459,0.208401,1
0.3172517,0.1608072,0.09174427,0.09750795,0.2254419,0.3260276,0.3197972,0.208401,0.2304085,0.2197968,6
0.3275201,0.1730878,0.07639501,0.09313272,0.2361977,0.3362367,0.3315602,0.2197968,0.2318074,0.2248757,3
0.3415451,0.1891585,0.07339776,0.09154582,0.2545542,0.3537525,0.3462783,0.2248757,0.24234,0.2357475,4
0.3523194,0.2017017,0.08860347,0.1072764,0.2432249,0.3662889,0.3567516,0.2357475,0.2486283,0.2451666,3
0.3593075,0.1858787,0.06607918,0.08469107,0.2506433,0.3718763,0.3625697,0.2451666,0.252256,0.2401494,2
0.3609123,0.1647478,0.07032423,0.0887282,0.2530404,0.3734047,0.3641544,0.2401494,0.242775,0.2393303,1
0.3803965,0.1860677,0.09178408,0.1124952,0.2744283,0.3906027,0.3871034,0.2393303,0.2604111,0.2604111,5
0.3818747,0.1591392,0.09574284,0.1162283,0.2766316,0.3617553,0.3885432,0.2604111,0.2628701,0.2542736,1
0.3833444,0.1339683,0.09965807,0.1199212,0.2788174,0.3633449,0.3899747,0.2542736,0.2567779,0.2527184,1
0.4045356,0.1358256,0.1230162,0.1405599,0.298272,0.3822181,0.4103017,0.2527184,0.273574,0.2706756,5
0.4058792,0.119948,0.1052212,0.1149219,0.3002924,0.3836858,0.4116147,0.2706756,0.2730593,0.2630804,1
0.4308018,0.1187969,0.1314939,0.1375085,0.3186354,0.4020795,0.4293779,0.2630804,0.2844916,0.281242,5
0.4320109,0.1224623,0.1350247,0.1409762,0.3003251,0.4034363,0.4305939,0.281242,0.2835733,0.2806899,1
0.4881769,0.1788358,0.1651494,0.1647182,0.3545496,0.4553667,0.4871633,0.2806899,0.334801,0.3277085,12
0.489132,0.1818859,0.1389758,0.141933,0.3561841,0.4564606,0.4881224,0.3277085,0.3297182,0.3218134,1
0.50697,0.2021994,0.1418191,0.1449203,0.3781864,0.4772696,0.5078471,0.3218134,0.3427211,0.3370303,5
0.5127907,0.2091263,0.1511696,0.1534334,0.3537076,0.4817827,0.5138057,0.3370303,0.3437311,0.3394023,2
0.5253143,0.2262593,0.1451707,0.1473106,0.3722838,0.4984354,0.5304693,0.3394023,0.3554953,0.3493205,4
0.5261316,0.228867,0.1485589,0.1506768,0.3538583,0.4993504,0.5312689,0.3493205,0.3512376,0.3483874,1
