D?ugo?? przed?u?e?,Cz?stotliwo?c podwójnego skoku,Rozpi?to?c pi?,Ilo?? pi?,D?ugo?? kolców,Cz?stotliwo?c pu?apek,D?ugo?? ?lizgania,Entry Rank,Highest Rank,Final Rank,Score,
0.1502345,0.2132269,0.1474753,0.1065285,0.3410847,0.6389267,0.0531262,0.2479444,0.2479444,0.2358004,0,49
0.1502345,0.1874657,0.1272158,0.08098329,0.3410847,0.6389267,0.0531262,0.2358004,0.2358004,0.2255767,0,50
0.1549904,0.19261,0.1310443,0.08613096,0.318937,0.6412932,0.05751759,0.2255767,0.2297948,0.2260748,1,51
0.1549904,0.19261,0.1310443,0.08613096,0.2910539,0.6412932,0.05751759,0.2260748,0.2260748,0.2220915,0,52
0.1549904,0.1680354,0.1076333,0.06151532,0.2910539,0.6412932,0.05751759,0.2220915,0.2220915,0.2117199,0,53
0.2025207,0.2010887,0.1261771,0.08611763,0.3402309,0.6683056,0.09922188,0.2117199,0.2549793,0.2462375,10,54
0.1872987,0.1879856,0.1424649,0.1011625,0.3504903,0.6754403,0.08078607,0.2462375,0.2585681,0.2465184,3,55
0.2054223,0.2068954,0.1610376,0.1203267,0.3504164,0.6851857,0.09683885,0.2465184,0.2638552,0.2608747,4,56
0.2054223,0.2068954,0.1610376,0.1203267,0.3285261,0.6851857,0.09683885,0.2608747,0.2608747,0.2577475,0,57
0.2171055,0.1912735,0.1471709,0.1067303,0.3404221,0.6901172,0.1090802,0.2577475,0.2693001,0.2574143,3,58
0.2171055,0.1667758,0.1191245,0.08088443,0.3404221,0.6901172,0.1090802,0.2574143,0.2574143,0.2462157,0,59
0.1945077,0.1730824,0.126765,0.09108489,0.349904,0.6940895,0.08502516,0.2462157,0.253793,0.2449227,2,60
0.1945077,0.1496299,0.1092099,0.06611523,0.349904,0.6940895,0.08502516,0.2449227,0.2449227,0.2354974,0,61
0.1919826,0.1786234,0.1378902,0.09702463,0.3732438,0.7073395,0.07778721,0.2354974,0.2604839,0.2519844,6,62
0.1810458,0.1850772,0.1587299,0.1163598,0.3896992,0.7157459,0.06506132,0.2519844,0.2686247,0.258817,4,63
0.1489216,0.1609359,0.1587299,0.1163598,0.3896992,0.7157459,0.03634385,0.258817,0.258817,0.2466766,0,64
0.1489216,0.1609359,0.1587299,0.1163598,0.3689182,0.7157459,0.03634385,0.2466766,0.2466766,0.2437079,0,65
0.1619486,0.136181,0.150043,0.1028815,0.375475,0.7198652,0.04993517,0.2437079,0.2543349,0.2423328,3,66
0.1888377,0.1625427,0.1794474,0.1310528,0.3794401,0.7311628,0.07576106,0.2423328,0.2674029,0.264035,6,67
0.1625506,0.1625427,0.1794474,0.1310528,0.3794401,0.7311628,0.04644362,0.264035,0.264035,0.2560914,0,68
0.133249,0.1448131,0.1833667,0.1355008,0.3815753,0.7320986,0.02299363,0.2560914,0.2597,0.2476567,1,69
0.133249,0.1448131,0.1833667,0.1355008,0.3630478,0.7320986,0.02299363,0.2476567,0.2476567,0.24501,0,70
0.149615,0.1581735,0.1990904,0.15295,0.3448747,0.7363511,0.04161251,0.24501,0.2587974,0.2546667,4,71
0.1717877,0.1854933,0.2001755,0.1444567,0.3636332,0.7444646,0.0639348,0.2546667,0.2753861,0.2677065,5,72
0.1876552,0.1994289,0.2201409,0.1616514,0.3533796,0.7498408,0.08072613,0.2677065,0.2820993,0.2789747,4,73
0.1924429,0.2022817,0.2021872,0.1369514,0.3578261,0.7521329,0.0848073,0.2789747,0.2829903,0.2755185,1,74
0.2001345,0.1824525,0.1846196,0.1177966,0.361044,0.7549418,0.09283433,0.2755185,0.2816567,0.2705462,2,75
0.1796807,0.178835,0.1923275,0.1269099,0.3661787,0.7566688,0.06999111,0.2705462,0.2768669,0.2672274,2,76
0.1910695,0.1878965,0.1771085,0.1130338,0.3756579,0.760385,0.08282987,0.2672274,0.2776294,0.2697116,3,77
0.1910695,0.1878965,0.1771085,0.1130338,0.3471401,0.760385,0.08282987,0.2697116,0.2697116,0.2656376,0,78
0.1684016,0.1971978,0.181779,0.1177543,0.3494188,0.7613823,0.05695168,0.2656376,0.2698931,0.2618408,1,79
0.1432374,0.1723591,0.181779,0.1177543,0.3494188,0.7613823,0.02982968,0.2618408,0.2618408,0.2508229,0,80
0.1183215,0.1489481,0.181779,0.1177543,0.3494188,0.7613823,0.003115246,0.2508229,0.2508229,0.2401028,0,81
0.1503808,0.1555571,0.1842567,0.1178047,0.3804777,0.7736179,0.03205664,0.2401028,0.2676246,0.2563074,6,82
0.1606349,0.1643115,0.1928115,0.1272211,0.3643591,0.7776332,0.04164558,0.2563074,0.2649421,0.261231,2,83
0.1395475,0.1413613,0.1928115,0.1272211,0.3643591,0.7776332,0.01425558,0.261231,0.261231,0.2510271,0,84
0.1395475,0.1413613,0.1928115,0.1272211,0.339876,0.7776332,0.01425558,0.2510271,0.2510271,0.2475295,0,85
0.1395475,0.1413613,0.1928115,0.1272211,0.3152426,0.7776332,0.01425558,0.2475295,0.2475295,0.2440104,0,86
0.115653,0.1413613,0.1928115,0.1272211,0.3152426,0.7776332,0,0.2440104,0.2440104,0.2385604,0,87
0.1207766,0.1470323,0.1975843,0.1318939,0.2938094,0.7788044,0.005,0.2385604,0.2429621,0.2392716,1,88
0.09633582,0.1250664,0.1975843,0.1318939,0.2938094,0.7788044,0,0.2392716,0.2392716,0.2319277,0,89
0.09633582,0.1250664,0.1975843,0.1318939,0.2768037,0.7788044,0,0.2319277,0.2319277,0.2294984,0,90
0.1120063,0.1379996,0.2124158,0.1453587,0.2746629,0.7825075,0.01482799,0.2294984,0.2423811,0.2399684,3,91
0.1120063,0.1379996,0.2124158,0.1453587,0.2549405,0.7825075,0.01482799,0.2399684,0.2399684,0.2371509,0,92
0.09905175,0.1410568,0.2207419,0.1542207,0.2647806,0.7847191,0,0.2371509,0.2458676,0.2377958,2,93
0.1208685,0.1567639,0.2111286,0.1422817,0.2865216,0.7909513,0.01965734,0.2377958,0.2546859,0.2468818,4,94
0.1313589,0.1676934,0.1884454,0.1235737,0.2985679,0.7941139,0.02915021,0.2468818,0.2557868,0.2475576,2,95
0.1367419,0.1475286,0.1634953,0.1010028,0.3039767,0.7958812,0.03458106,0.2475576,0.2518724,0.2404582,1,96
0.1124093,0.1255345,0.1634953,0.1010028,0.3039767,0.7958812,0.01104262,0.2404582,0.2404582,0.2304775,0,97
0.1233992,0.1326838,0.1720311,0.1107608,0.2957525,0.7992942,0.02073236,0.2304775,0.2392286,0.2363792,2,98
0.1336992,0.1223536,0.1532688,0.09452236,0.3058433,0.8026459,0.03020068,0.2363792,0.2452939,0.2346477,2,99
0.1336992,0.1223536,0.1532688,0.09452236,0.288098,0.8026459,0.03020068,0.2346477,0.2346477,0.2321126,0,100
0.124668,0.1140668,0.1670237,0.1094947,0.2995502,0.8081152,0.01647594,0.2321126,0.2447501,0.2341992,3,101
0.1451946,0.1286945,0.1598772,0.1024364,0.3190562,0.8150939,0.03576768,0.2341992,0.2513451,0.2437315,4,102
0.1451946,0.1286945,0.1598772,0.1024364,0.3010462,0.8150939,0.03576768,0.2437315,0.2437315,0.2411586,0,103
0.1501741,0.1322548,0.1644526,0.1074929,0.282979,0.8171611,0.04035682,0.2411586,0.2454731,0.2421245,1,104
0.1878676,0.1708885,0.202402,0.1452392,0.3036005,0.8305371,0.07524104,0.2421245,0.2766786,0.2736823,8,105
0.1878676,0.1618831,0.1805463,0.1172558,0.3036005,0.8305371,0.07524104,0.2736823,0.2736823,0.2652759,0,106
0.1644155,0.1584361,0.1855085,0.1219193,0.3071294,0.8312684,0.05050821,0.2652759,0.2692619,0.2598836,1,107
0.1644155,0.1247,0.1616491,0.09610535,0.3071294,0.8312684,0.05050821,0.2598836,0.2598836,0.247968,0,108
0.1372796,0.1247,0.1616491,0.09610535,0.3071294,0.8312684,0.02261376,0.247968,0.247968,0.2401065,0,109
0.1106525,0.1039917,0.1616491,0.09610535,0.3071294,0.8312684,0,0.2401065,0.2401065,0.2301138,0,110
0.1158668,0.1078168,0.1385317,0.07536152,0.3132097,0.8323916,0.005,0.2301138,0.2343189,0.2268826,1,111
0.1309696,0.1190455,0.126177,0.06665308,0.3231353,0.8369257,0.01965734,0.2268826,0.239034,0.2317948,3,112
0.1059521,0.1116706,0.126177,0.06665308,0.3231353,0.8369257,0,0.2317948,0.2317948,0.2243591,0,113
