platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.02086867,0.01132335,0.02086988,0.01965734,0.02013897,0.01965734,0.01997426,0,0.02011769,0.01892712,4
0.0298232,0.01262943,0.03033506,0.02915021,0.03010836,0.02915021,0.02978032,0.01892712,0.02868537,0.0272824,2
0.07052956,0.05488311,0.07333703,0.06261204,0.06159855,0.06370987,0.06055308,0.0272824,0.06521025,0.06388903,6
0.07472462,0.0556155,0.07750063,0.06689615,0.06589408,0.0679816,0.06486042,0.06388903,0.06815886,0.067639,1
0.07887271,0.05877738,0.07349139,0.05939547,0.07014122,0.07220526,0.06911919,0.067639,0.07186668,0.06885752,1
0.08297451,0.06310478,0.06965043,0.0522833,0.07434063,0.07638154,0.07333007,0.06885752,0.07307153,0.07029504,1
0.09515136,0.07609642,0.08041623,0.06360072,0.08697759,0.08863288,0.08568226,0.07029504,0.08306991,0.08236535,3
0.09907309,0.07299682,0.0814921,0.06591625,0.0909894,0.09262639,0.08970841,0.08236535,0.08642871,0.08468606,1
0.1090482,0.08299696,0.09329737,0.06059915,0.1029339,0.1062718,0.09996188,0.08468606,0.09640368,0.09358703,2
0.1128184,0.06507122,0.08003846,0.05692382,0.1067706,0.1100721,0.1038309,0.09358703,0.0975272,0.09078937,1
0.116548,0.06932762,0.06760105,0.05340165,0.1105655,0.1138313,0.1076578,0.09078937,0.09476139,0.09127613,1
0.1202375,0.06649239,0.06898107,0.05591798,0.1143194,0.11755,0.1114431,0.09127613,0.09524358,0.09356306,1
0.1312087,0.07937064,0.0827641,0.06905043,0.1063381,0.128469,0.122556,0.09356306,0.105581,0.1028224,3
0.1347424,0.07173695,0.08545809,0.07108653,0.1101378,0.1320316,0.1261814,0.1028224,0.1066635,0.1044821,1
0.1382391,0.06858972,0.08769267,0.07405571,0.1138963,0.1355567,0.1297682,0.1044821,0.1083058,0.1068283,1
0.1416992,0.06556697,0.09169658,0.07821128,0.1176142,0.1390448,0.1333171,0.1068283,0.1106271,0.1095929,1
0.1451233,0.05975404,0.06763706,0.0557165,0.1212923,0.1424966,0.1368287,0.1095929,0.1133622,0.1041212,1
0.1540992,0.06201155,0.08146095,0.06512685,0.1326762,0.1555337,0.1460614,0.1041212,0.1154694,0.1138528,2
0.157396,0.06547798,0.06585383,0.0519847,0.1361945,0.1588159,0.1494404,0.1138528,0.1175808,0.1121662,1
