platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.03503631,0.03579104,0.03438716,0.03358395,0.0318861,0.03506217,0.03421067,0,0.03427963,0.03427963,6
0.04626959,0.04578165,0.04267922,0.03794922,0.04627372,0.04952905,0.04540867,0.03427963,0.04680849,0.04484159,2
0.0507389,0.05025652,0.04718943,0.04251342,0.04891954,0.05396129,0.04988778,0.04484159,0.04932719,0.0490667,1
0.08608466,0.08205342,0.08055343,0.08130284,0.08379807,0.09634722,0.08198207,0.0490667,0.08557372,0.08458882,6
0.09010635,0.08611982,0.08091161,0.0829179,0.0878451,0.1002558,0.08604927,0.08458882,0.08862721,0.0877437,1
0.09408359,0.09014113,0.08499072,0.0869747,0.08695292,0.1041217,0.09007135,0.0877437,0.09174722,0.09104802,1
0.1152587,0.1000676,0.1063005,0.1033854,0.1086908,0.1262111,0.111633,0.09104802,0.1117799,0.110221,4
0.1287323,0.115637,0.1044592,0.1043758,0.1258472,0.143147,0.1247967,0.110221,0.1251936,0.1209993,3
0.1322921,0.1193362,0.09280398,0.09534208,0.1294376,0.1465562,0.1283982,0.1209993,0.1246423,0.1205952,1
0.1358145,0.1229959,0.09675151,0.09926171,0.1196132,0.1499301,0.1319616,0.1205952,0.1242436,0.1223326,1
0.1392999,0.1266165,0.1006557,0.1031384,0.1232699,0.1532694,0.1354874,0.1223326,0.1259625,0.1259625,1
0.1522963,0.1359446,0.1089768,0.1121204,0.1307408,0.1655637,0.1474325,0.1259625,0.1369941,0.1361536,2
0.1556114,0.1306857,0.09407768,0.1144078,0.1342794,0.1687448,0.1507975,0.1361536,0.1396382,0.1355149,1
0.1588928,0.1256534,0.08012786,0.1166559,0.1377809,0.1718943,0.1541279,0.1355149,0.1390075,0.135019,1
0.162141,0.1175993,0.08421568,0.1203443,0.1412458,0.1750125,0.1574244,0.135019,0.1385185,0.1368547,1
0.1751598,0.1324956,0.1007329,0.134953,0.1551697,0.188031,0.1702807,0.1368547,0.1511205,0.1509747,4
0.1782458,0.1360158,0.1034366,0.1180985,0.1584556,0.190992,0.1734149,0.1509747,0.1543093,0.151237,1
0.1930826,0.150824,0.1074924,0.1086207,0.1761754,0.2132632,0.1866688,0.151237,0.1686448,0.1623039,3
0.1959953,0.1541542,0.09655757,0.0847177,0.1792515,0.2159879,0.189643,0.1623039,0.1655296,0.1594725,1
0.1988805,0.1574504,0.1004639,0.08875453,0.1822975,0.2186878,0.1925886,0.1594725,0.1627319,0.1627319,1
0.2017385,0.1530202,0.078543,0.08617724,0.1853139,0.2213633,0.1955061,0.1627319,0.1659584,0.1602374,1
0.2045697,0.1487655,0.05811166,0.08369512,0.188301,0.2240147,0.1983959,0.1602374,0.1634937,0.1579791,1
0.2073745,0.1521168,0.03907046,0.08130419,0.1912595,0.2266424,0.2012584,0.1579791,0.1612631,0.1570038,1
0.2101533,0.1461462,0.02850273,0.08411434,0.1941897,0.2292468,0.2040941,0.1570038,0.1603026,0.1566353,1
0.2129065,0.1495244,0.03317505,0.08815787,0.1936356,0.231828,0.2069034,0.1566353,0.159941,0.1594473,1
0.2156345,0.151754,0.03693807,0.07432083,0.1965432,0.2343866,0.2096865,0.1594473,0.1627242,0.1598948,1
0.2163353,0.1408406,0.04151383,0.07847343,0.1994232,0.2369228,0.212444,0.1598948,0.16317,0.1608505,1
