platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.0293373,0.03094469,0.003463512,0.008334225,0.03155595,0.03204885,0.03087378,0,0.03071994,0.02379404,6
0.1122956,0.09172668,0.08669102,0.0891894,0.1149082,0.1125742,0.1155229,0.02379404,0.1067309,0.1032726,17
0.1466506,0.09808386,0.09465802,0.09481861,0.1456698,0.1445195,0.1468297,0.1032726,0.1346262,0.1244614,7
0.1500236,0.1019734,0.09858517,0.09874399,0.124204,0.1479145,0.1502008,0.1244614,0.1280706,0.1245208,1
0.1790666,0.1275922,0.1264539,0.1262041,0.1279815,0.1729448,0.1741718,0.1245208,0.1512965,0.1477735,6
0.2134411,0.1590601,0.1593226,0.1571909,0.1384391,0.2019152,0.2039142,0.1477735,0.1791757,0.1761833,7
0.2314705,0.1535094,0.144541,0.1517297,0.1563415,0.2179485,0.2210835,0.1761833,0.1933218,0.1823749,4
0.2340322,0.1352848,0.1479357,0.1550506,0.1596155,0.2206307,0.2237375,0.1823749,0.1854021,0.1823267,1
0.2695844,0.1792326,0.1892078,0.1966348,0.1951733,0.259654,0.2547244,0.1823267,0.2206016,0.2206016,9
0.2774761,0.1550133,0.1970813,0.2049535,0.2016818,0.2665153,0.2623088,0.2206016,0.2282759,0.2235757,2
0.2796553,0.1583008,0.1999563,0.2077547,0.1828271,0.2687818,0.2646094,0.2235757,0.2262246,0.2231265,1
0.2964942,0.1790754,0.18948,0.1952517,0.2029618,0.287683,0.2805938,0.2231265,0.2413277,0.2330771,5
0.3133965,0.196429,0.1826225,0.1860552,0.2202633,0.3045745,0.2955628,0.2330771,0.2499285,0.2427005,4
0.3190873,0.2049912,0.1715429,0.1738889,0.2295,0.3105169,0.3022704,0.2427005,0.2504072,0.2445425,3
0.331186,0.2172423,0.165842,0.1600118,0.2403734,0.3227114,0.3146022,0.2445425,0.2570406,0.2502813,3
0.3546349,0.2394477,0.163382,0.1602065,0.2599544,0.3420997,0.3352393,0.2502813,0.2721728,0.2649949,5
0.3744425,0.2261414,0.1606825,0.1658048,0.2788026,0.3607114,0.3565211,0.2649949,0.286282,0.2747295,5
0.3759556,0.2287502,0.1402552,0.1444409,0.2809714,0.3623075,0.3581432,0.2747295,0.2770034,0.2701177,1
0.3774598,0.2313358,0.1211936,0.1245088,0.2831233,0.3638937,0.3597552,0.2701177,0.2724427,0.2658958,1
0.3880781,0.2439129,0.1363966,0.1383984,0.2916599,0.3733131,0.3682505,0.2658958,0.2771442,0.2771442,3
0.3895123,0.2215965,0.139876,0.1418568,0.2937298,0.3748329,0.3698005,0.2771442,0.2794251,0.2758864,1
0.3943027,0.228613,0.1250545,0.1291985,0.3000373,0.3792642,0.3747039,0.2758864,0.2821649,0.275882,2
0.395702,0.2311999,0.106473,0.1130276,0.3020446,0.380749,0.3762155,0.275882,0.2781882,0.2722016,1
0.409253,0.2468228,0.1072225,0.1161446,0.3148545,0.3928852,0.389226,0.2722016,0.2880507,0.2823441,4
0.4105715,0.2492522,0.1110126,0.1198384,0.3167546,0.3942924,0.3906537,0.2823441,0.2846251,0.2846251,1
0.4269582,0.2437914,0.1327785,0.1446179,0.3344724,0.4132279,0.4124558,0.2846251,0.3052023,0.301186,5
0.4281861,0.2245669,0.1081574,0.1209409,0.3362373,0.4145256,0.4137575,0.301186,0.303323,0.2923388,1
0.429408,0.2065808,0.08518731,0.09885665,0.3379905,0.4158166,0.4150525,0.2923388,0.2945683,0.2841275,1
0.4306239,0.209367,0.06402911,0.07803076,0.339732,0.4171009,0.4163407,0.2841275,0.2864459,0.2793178,1
