platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.01117976,0.01073891,0.01059708,0.009942438,0.01190537,0.009942438,0.009942438,0,0.01060692,0.01060692,2
0.02086636,0.0204356,0.02029701,0.01965734,0.02284155,0.01965734,0.01965734,0.01060692,0.02048751,0.02048751,2
0.02562632,0.0252005,0.0250635,0.02443118,0.02757882,0.02443118,0.02443118,0.02048751,0.02525182,0.02525182,1
0.0395811,0.03916975,0.02033187,0.02247389,0.04187927,0.03842658,0.03842658,0.02525182,0.03977326,0.034327,3
0.04412666,0.04372001,0,0.004227373,0.04639861,0.04298533,0.04298533,0.034327,0.03893275,0.03206333,1
0.0750633,0.07478356,0.03020497,0.03361495,0.07554908,0.07872937,0.07240418,0.03206333,0.06290706,0.06290706,6
0.08859374,0.08839465,0.04671088,0.04729868,0.07311995,0.09090328,0.08529971,0.06290706,0.07704141,0.07433156,3
0.09258769,0.07631009,0.05117516,0.05175627,0.07728599,0.09487174,0.08933009,0.07433156,0.07848539,0.07618815,1
0.09653759,0.08044047,0.0555887,0.05616321,0.06087557,0.09879653,0.09331591,0.07618815,0.08032113,0.07738828,1
0.1114928,0.07349546,0.06907178,0.06921308,0.0740624,0.1125434,0.1073723,0.07738828,0.09090197,0.08817874,3
0.1244894,0.08600433,0.08473533,0.0857056,0.0867942,0.1236212,0.1186152,0.08817874,0.1014236,0.1014236,3
0.09889973,0.09002692,0.08877198,0.08973149,0.09080803,0.1272352,0.1222826,0.1014236,0.1052786,0.101108,1
0.08768978,0.08739131,0.1006165,0.101816,0.1062214,0.1427063,0.1347871,0.101108,0.1149176,0.1087469,3
0.09986631,0.09950614,0.08448154,0.09365134,0.1175013,0.1548682,0.1461525,0.1087469,0.1211743,0.1137182,3
0.1081129,0.1078288,0.06229486,0.08354108,0.1259359,0.1627834,0.1558947,0.1137182,0.1223876,0.1151988,2
0.12483,0.1190572,0.04941713,0.07134816,0.1376889,0.1754036,0.1709878,0.1151988,0.1292834,0.1212475,3
0.1284312,0.1227198,0.05385064,0.07553405,0.117067,0.1784872,0.174115,0.1212475,0.1248989,0.1214578,1
0.1025819,0.1263434,0.05823382,0.07967309,0.1207509,0.1815407,0.1772113,0.1214578,0.1251068,0.120905,1
0.1042356,0.1255834,0.08378264,0.1041848,0.1443858,0.1996375,0.1968233,0.120905,0.1423326,0.1369476,5
0.1080581,0.1291765,0.08782984,0.1080078,0.1285247,0.2024884,0.1997007,0.1369476,0.1404348,0.1376837,1
0.0975353,0.1174432,0.09766398,0.1174412,0.1366577,0.2097267,0.2068677,0.1376837,0.1457409,0.1404765,2
0.1014309,0.1211231,0.1015582,0.1211211,0.1401343,0.2124839,0.2096512,0.1404765,0.143929,0.143929,1
0.1052839,0.1247637,0.1054098,0.1247617,0.1245461,0.2152157,0.212409,0.143929,0.1473455,0.1446271,1
0.1156268,0.1319292,0.08741319,0.1044454,0.1322702,0.2220658,0.2204485,0.1446271,0.152924,0.1448856,2
0.1193262,0.1354554,0.0728822,0.09070212,0.1357928,0.2247109,0.2231081,0.1448856,0.148297,0.1431397,1
0.1229859,0.1062085,0.0770509,0.09467279,0.1152985,0.2273324,0.2257439,0.1431397,0.1465727,0.1384704,1
0.1329137,0.1001976,0.08699351,0.1024837,0.1236225,0.2334487,0.233571,0.1384704,0.147114,0.1447473,2
0.1364296,0.104064,0.09100514,0.1063252,0.1272365,0.2359931,0.2361144,0.1447473,0.1481669,0.1481669,1
0.1450922,0.1117892,0.1012266,0.1165928,0.1354301,0.2435195,0.2411791,0.1481669,0.1564042,0.1564042,2
0.1484813,0.1155298,0.1050819,0.1202818,0.1389195,0.245977,0.2436565,0.1564042,0.159704,0.159704,1
0.1518355,0.1192303,0.1088951,0.1239313,0.1423726,0.2484135,0.2461128,0.159704,0.1629701,0.1629701,1
0.1551553,0.1228911,0.08194829,0.103051,0.1457897,0.2508293,0.2485482,0.1629701,0.1662032,0.1583161,1
0.1584413,0.1086722,0.08601587,0.1068863,0.1491716,0.2532249,0.2509629,0.1583161,0.1616023,0.1590536,1
0.1459299,0.09871609,0.1064444,0.1256616,0.1714461,0.2720138,0.2681886,0.1590536,0.1783558,0.1697715,5
0.134379,0.08269159,0.1208865,0.13723,0.184738,0.2843193,0.2773683,0.1697715,0.1820766,0.1745161,3
0.1378794,0.06901743,0.09255129,0.1091819,0.1877308,0.2864452,0.2795483,0.1745161,0.177655,0.1660506,1
0.1220948,0.05120029,0.1011656,0.1168921,0.1946127,0.2932866,0.2851668,0.1660506,0.1735273,0.1663456,2
0.1113287,0.03948485,0.1050215,0.1205779,0.197511,0.2953442,0.2872863,0.1663456,0.1695828,0.1652221,1
0.1150744,0.03168981,0.1088354,0.1242243,0.2003819,0.2973865,0.2893895,0.1652221,0.1684748,0.1667117,1
0.1187797,0.03632561,0.0926153,0.1097476,0.2032258,0.2994134,0.2914766,0.1667117,0.1699516,0.164512,1
0.1368073,0.02634125,0.08212521,0.1043312,0.2152438,0.3092583,0.3043321,0.164512,0.1805225,0.1683484,4
0.1402823,0.03103836,0.06655069,0.09231064,0.2179505,0.3111983,0.3063079,0.1683484,0.1715887,0.1665198,1
0.1437212,0.03568162,0.07079044,0.0962636,0.2206326,0.3131244,0.3082693,0.1665198,0.1697833,0.1697833,1
0.1595182,0.05187393,0.08527706,0.1112649,0.2160784,0.3246111,0.3200693,0.1697833,0.1836492,0.1812418,3
0.16276,0.05627953,0.0893077,0.1150112,0.2187775,0.326443,0.3219327,0.1812418,0.1843588,0.1843588,1
0.1659693,0.03216726,0.09329376,0.1187172,0.2214522,0.3282623,0.3237831,0.1843588,0.1874447,0.1833779,1
0.1691463,0.03679759,0.07716666,0.09696175,0.2241028,0.3300691,0.3256207,0.1833779,0.1864794,0.1799807,1
0.1722918,0.04137496,0.06209387,0.07668032,0.2267297,0.3318637,0.3274457,0.1799807,0.1831224,0.1769257,1
0.1754061,0.04590005,0.06638382,0.08080656,0.2293333,0.3336461,0.3292581,0.1769257,0.1801049,0.1801049,1
0.1938857,0.06545266,0.08741668,0.09887729,0.2473092,0.348465,0.3429089,0.1801049,0.1977594,0.1977594,4
0.1967909,0.06970476,0.07333031,0.08220395,0.2497344,0.3501382,0.3446181,0.1977594,0.2007383,0.1952172,1
0.1996686,0.07390908,0.06013459,0.06662704,0.2521392,0.3518007,0.3463161,0.1952172,0.198228,0.1929422,1
0.2093277,0.08217707,0.07110967,0.07710544,0.2344044,0.3576252,0.3537503,0.1929422,0.2015877,0.1979285,2
0.2120885,0.08624211,0.07529823,0.08122694,0.2189502,0.3592405,0.3553899,0.1979285,0.2009181,0.198348,1
0.214824,0.09026206,0.05027593,0.06877143,0.2216233,0.3608457,0.3570191,0.198348,0.2013309,0.1948031,1
0.2175345,0.07234425,0.05469967,0.07298622,0.2242724,0.3624409,0.3586382,0.1948031,0.1978299,0.1947023,1
0.2202204,0.05932097,0.05907323,0.07715376,0.2268978,0.3640264,0.3602471,0.1947023,0.197734,0.1952771,1
0.2263225,0.06791472,0.0679802,0.08548363,0.2208854,0.3686341,0.3680007,0.1952771,0.20297,0.2007459,2
0.2061391,0.0469677,0.07638018,0.09349578,0.2268921,0.3739107,0.3755315,0.2007459,0.2080049,0.1999024,2
0.212754,0.05729032,0.08481734,0.1020032,0.2130851,0.3812011,0.3819841,0.1999024,0.2078852,0.2047336,2
0.219237,0.06738134,0.09306669,0.1103214,0.2216175,0.3883673,0.3883252,0.2047336,0.2126166,0.2126166,2
0.2023474,0.05536037,0.09701133,0.1140779,0.2242666,0.3897998,0.389758,0.2126166,0.2154904,0.2103745,1
0.2051729,0.05972644,0.1009127,0.1177939,0.2268921,0.3912243,0.3911827,0.2103745,0.2132721,0.2132721,1
0.2079721,0.06404312,0.1047713,0.1214701,0.2112431,0.3926408,0.3925994,0.2132721,0.2161416,0.2135343,1
0.1917938,0.05222601,0.108588,0.125107,0.2139863,0.3940494,0.3940082,0.2135343,0.2163993,0.2113941,1
0.2007154,0.06303027,0.09077931,0.1052372,0.2236602,0.4013425,0.4015678,0.2113941,0.2200901,0.2123332,2
0.1908158,0.0560284,0.1046606,0.118373,0.2399457,0.4142607,0.4150132,0.2123332,0.2267656,0.219871,3
0.1937502,0.0603869,0.07736064,0.1078413,0.2424337,0.415553,0.4163017,0.219871,0.2227067,0.2162325,1
0.1714018,0.06469612,0.0814793,0.1116246,0.2449004,0.4168387,0.4175835,0.2162325,0.2191113,0.2155035,1
0.1745249,0.04504585,0.06354312,0.09602693,0.2473461,0.4181178,0.4188587,0.2155035,0.218389,0.2090662,1
0.1497761,0.02673152,0.06781673,0.09993906,0.249771,0.4193903,0.4201274,0.2090662,0.2120272,0.2047931,1
0.1774053,0.05087614,0.08877559,0.1189978,0.2745354,0.4384704,0.4376097,0.2047931,0.2266672,0.2266672,5
0.167602,0.04783839,0.1178218,0.1445799,0.3027715,0.4688215,0.4564705,0.2266672,0.2525715,0.2437008,6
0.1707629,0.05228985,0.09217102,0.1316423,0.3047587,0.4698564,0.4575594,0.2437008,0.2463856,0.2398629,1
0.1738923,0.05669073,0.06822854,0.1194811,0.3067314,0.4708869,0.4586434,0.2398629,0.2425917,0.2363649,1
0.1839737,0.06959689,0.05659333,0.1181222,0.3183052,0.4826461,0.4679654,0.2363649,0.2485738,0.2424575,3
0.1869738,0.05701588,0.06094544,0.1217948,0.3201809,0.4836234,0.469004,0.2424575,0.2451893,0.2427912,1
0.189945,0.04622262,0.04768569,0.1013818,0.3220435,0.4845968,0.4700381,0.2427912,0.2455233,0.2374162,1
0.198644,0.0294612,0.05876265,0.1106576,0.3306594,0.4894747,0.4746146,0.2374162,0.2457972,0.2417534,2
0.2015042,0.03412254,0.06309022,0.1144105,0.3045076,0.4904247,0.475625,0.2417534,0.2445182,0.2405264,1
0.2043375,0.03873049,0.06736893,0.1181229,0.2800224,0.4913709,0.4766312,0.2405264,0.243292,0.239512,1
0.2135641,0.03442255,0.04904634,0.1102176,0.2868059,0.4978492,0.4800904,0.239512,0.2468457,0.2388566,2
0.216286,0.03902708,0.03733882,0.08849319,0.2889128,0.4987665,0.4810782,0.2388566,0.2416471,0.2357004,1
0.2189833,0.02405328,0.02634184,0.0682428,0.2910036,0.4996803,0.4820619,0.2357004,0.2385294,0.2300524,1
0.2216561,0.01421837,0.03103893,0.07246353,0.2930785,0.4696997,0.4830416,0.2300524,0.2329494,0.2264567,1
0.2243049,0,0.01645249,0.05936478,0.2951377,0.4707309,0.4840174,0.2264567,0.2293664,0.2214297,1
0.22693,0.005,0,0.04991858,0.2971815,0.4717577,0.4849891,0.2214297,0.224401,0.2193967,1
0.2295318,0.009942438,0,0.04100432,0.29921,0.4727802,0.485957,0.2193967,0.2223954,0.2197751,1
0.2321105,0.01482799,0,0.03462958,0.3012234,0.4737983,0.486921,0.2197751,0.2227736,0.2205015,1
0.2346666,0.01965734,0,0.02115411,0.303222,0.4748122,0.4878811,0.2205015,0.2234958,0.220199,1
0.2406761,0.02915021,0,0.0147176,0.3118879,0.4803259,0.4933601,0.220199,0.228254,0.2243025,2
0.2431579,0.0338151,0.005,0.01954822,0.2981443,0.4813127,0.4942948,0.2243025,0.2272768,0.225039,1
0.2456184,0.03842658,0.009942438,0.02432331,0.3001656,0.4822955,0.4952258,0.225039,0.2279997,0.2279997,1
0.2480579,0.04298533,0.01482799,0.02904357,0.2824764,0.4832742,0.4961532,0.2279997,0.2309306,0.228117,1
0.255661,0.05194744,0.02443118,0.03832237,0.2894513,0.4880947,0.5032648,0.228117,0.2358818,0.2358818,2
0.2681524,0.06501265,0.03842658,0.05184676,0.2779475,0.496596,0.5163156,0.2358818,0.248192,0.2448996,3
0.2704057,0.0692697,0.04298533,0.05625267,0.2582655,0.4975182,0.5171645,0.2448996,0.2476741,0.2445516,1
0.2726409,0.0734789,0.04749205,0.06060864,0.2605992,0.4984367,0.5180103,0.2445516,0.2473238,0.2473238,1
0.2748583,0.07764092,0.05194744,0.06491535,0.2364521,0.4993518,0.5188531,0.2473238,0.2500687,0.2462884,1
0.2770581,0.05210499,0.05635221,0.0691735,0.2389703,0.5002633,0.519693,0.2462884,0.2490381,0.2448022,1
0.2792406,0.02827334,0.06070705,0.07338378,0.2414668,0.5011714,0.5205298,0.2448022,0.2475725,0.243539,1
0.2877323,0.03756968,0.07140746,0.08260173,0.2214625,0.5054086,0.5278989,0.243539,0.2513756,0.2477259,2
0.2898321,0.04213822,0.07559268,0.08666204,0.224113,0.5062973,0.5287073,0.2477259,0.2504775,0.2504775,1
0.2919158,0.0466546,0.05019226,0.07246568,0.2267398,0.5071827,0.5295128,0.2504775,0.253202,0.2463805,1
0.300478,0.0555337,0.03061636,0.06533311,0.2330353,0.5130751,0.5361594,0.2463805,0.2543454,0.2477473,2
0.2799608,0.04108025,0.03526446,0.06958655,0.2355833,0.5139356,0.5369399,0.2477473,0.2505271,0.2446215,1
0.2661571,0.03360574,0.04623497,0.07795072,0.2437481,0.5202609,0.5411044,0.2446215,0.252735,0.2470088,2
0.2684264,0.03821961,0.05070468,0.08206279,0.2252365,0.5210958,0.5418687,0.2470088,0.2497974,0.2468021,1
0.274961,0.04829686,0.06177363,0.09019282,0.2338642,0.5260496,0.5470912,0.2468021,0.2546042,0.2546042,2
0.2804946,0.03399269,0.07120556,0.09810162,0.2411253,0.5307556,0.5525915,0.2546042,0.2617537,0.2583238,2
0.2826502,0.01570538,0.07539304,0.101991,0.2436032,0.5315543,0.5533193,0.2583238,0.2610162,0.2577452,1
0.2847891,0,0.05716966,0.08104771,0.2460599,0.5323502,0.5540448,0.2577452,0.2604486,0.2507802,1
0.2869114,0.005,0.06151525,0.0851253,0.2484957,0.5331434,0.5547681,0.2507802,0.2535656,0.2535656,1
