platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score,
0.4998803,0.08229885,0.03392373,0.05351214,0.2502706,0.4483193,0.297462,0.2409756,0.2409756,0.2379524,0,1.15
0.4671854,0.05858987,0.03980943,0.05901733,0.2562864,0.4506277,0.2607359,0.2379524,0.2425553,0.2274646,1,1.15
0.4828958,0.08201151,0.04454941,0.06130997,0.2778822,0.4617252,0.2725567,0.2274646,0.2469544,0.2404187,5,1.35
0.4889828,0.07343306,0.03535214,0.04856982,0.2872334,0.4660818,0.2769752,0.2404187,0.2482509,0.2395183,2,1.35
0.4889828,0.05551934,0.01236868,0.02639481,0.2872334,0.4660818,0.2769752,0.2395183,0.2395183,0.230508,0,1.2
0.5008005,0.05904751,0.03373935,0.04925976,0.3011549,0.4745661,0.2856061,0.230508,0.2460408,0.2434535,4,1.35
0.4681599,0.04598721,0.03835169,0.05481634,0.3060147,0.4766833,0.2504915,0.2434535,0.2474608,0.2343578,1,1.3
0.501936,0.09681059,0.073925,0.08606618,0.3562508,0.4987778,0.2780652,0.2343578,0.2771644,0.2702616,11,1.75
0.5048076,0.1029767,0.07978776,0.09120215,0.3593757,0.5006815,0.2802398,0.2702616,0.274153,0.274153,1,1.8
0.5242107,0.1377252,0.1162863,0.12553,0.3817731,0.513629,0.2962124,0.274153,0.2993381,0.2993381,7,2.1
0.5320578,0.1550763,0.1298033,0.1394146,0.363972,0.5189272,0.3029038,0.2993381,0.3096037,0.3060222,3,2.25
0.4952514,0.1465961,0.1298033,0.1394146,0.363972,0.5189272,0.262835,0.3060222,0.3060222,0.2938285,0,2.2
0.5011262,0.1533086,0.1384479,0.1484036,0.3468642,0.5224519,0.2674089,0.2938285,0.3002807,0.2968588,2,2.3
0.5181717,0.1682962,0.1297618,0.1448757,0.3694757,0.5328338,0.2806972,0.2968588,0.3166372,0.3063017,6,2.4
0.5181717,0.1682962,0.1001218,0.1171928,0.3694757,0.5328338,0.2806972,0.3063017,0.3063017,0.2981127,0,2.4
0.5208982,0.1624256,0.1041396,0.1219716,0.3710184,0.5344907,0.2828512,0.2981127,0.3009742,0.299685,1,2.4
0.5208982,0.1395832,0.08546019,0.09560391,0.3710184,0.5344907,0.2828512,0.299685,0.299685,0.2899865,0,2.25
0.5235963,0.123408,0.06254309,0.07548426,0.3752794,0.5361527,0.2858622,0.2899865,0.293819,0.2831894,1,2.3
0.5263014,0.1194153,0.0471633,0.05675057,0.3792987,0.537835,0.2895234,0.2831894,0.2867931,0.2794697,1,2.35
0.5263014,0.1194153,0.0471633,0.05675057,0.3548574,0.537835,0.2895234,0.2794697,0.2794697,0.2759781,0,2.3
0.5368963,0.1360065,0.06740971,0.07827246,0.3469218,0.5444509,0.2984672,0.2759781,0.2908891,0.2869179,4,2.5
0.5545885,0.1704553,0.1028,0.1136227,0.3524318,0.5556386,0.3166259,0.2869179,0.3128496,0.3094518,7,2.8
0.5594219,0.1571622,0.1138218,0.1232072,0.362829,0.5587408,0.3208452,0.3094518,0.3171341,0.3137183,2,2.65
0.5594219,0.1571622,0.1138218,0.1232072,0.3392761,0.5587408,0.3208452,0.3137183,0.3137183,0.3103536,0,2.55
0.5759462,0.1878835,0.1197203,0.1267762,0.3680481,0.5694015,0.3362146,0.3103536,0.3340406,0.3262843,7,2.9
0.5759462,0.1635808,0.09614834,0.1001219,0.3680481,0.5694015,0.3362146,0.3262843,0.3262843,0.3156374,0,2.7
0.5804696,0.1487473,0.1056668,0.1100123,0.3773469,0.5723567,0.3397095,0.3156374,0.3225297,0.319187,2,2.75
0.5804696,0.126684,0.08403916,0.08433197,0.3773469,0.5723567,0.3397095,0.319187,0.319187,0.3092768,0,2.2
0.5804696,0.126684,0.08403916,0.08433197,0.3496484,0.5723567,0.3397095,0.3092768,0.3092768,0.3053199,0,2.15
0.6002142,0.1705076,0.1315579,0.1286725,0.3916255,0.5854416,0.3556073,0.3053199,0.3376609,0.3376609,9,2.25
0.6002142,0.1705076,0.1315579,0.1286725,0.35824,0.5854416,0.3556073,0.3376609,0.3376609,0.3328916,0,2.1
0.6002142,0.1361674,0.1008516,0.1019151,0.35824,0.5854416,0.3556073,0.3328916,0.3328916,0.3197768,0,2.1
0.6022956,0.1396491,0.1059053,0.1068699,0.362574,0.5868369,0.3572352,0.3197768,0.3230523,0.3230523,1,2.05
