platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.09624522,0.05179038,0.02268727,0.03203364,0.04749205,0.0731153,0.04749205,0,0.06036244,0.05297941,10
0.1152859,0.04544006,0.01166575,0.01992366,0.05635221,0.08693473,0.05635221,0.05297941,0.06469016,0.0559935,2
0.1152859,0.04544006,0,0,0.05635221,0.08693473,0.05635221,0.0559935,0.0559935,0.05148074,0
0.1624561,0.06733131,0.02493561,0.02876404,0.07972346,0.1200148,0.07764092,0.05148074,0.08012374,0.08012374,5
0.1904553,0.07988245,0.01167977,0.02207754,0.09447472,0.1392346,0.08985072,0.08012374,0.09686343,0.08966503,3
0.1904553,0.06162589,0.01167977,0.02207754,0.09447472,0.1392346,0.08985072,0.08966503,0.08966503,0.08705694,0
0.2409855,0.07213477,0.04182133,0.05491478,0.1213677,0.1756752,0.08566035,0.08705694,0.1205893,0.1132228,6
0.2893061,0.08585533,0.07370006,0.08551191,0.1449451,0.2095941,0.07863732,0.1132228,0.1462985,0.1382214,6
0.2981843,0.08987956,0.05036036,0.06468926,0.1487559,0.215005,0.08274174,0.1382214,0.1435544,0.1356595,1
0.2981843,0.08987956,0.02247431,0.04038597,0.1487559,0.215005,0.08274174,0.1356595,0.1356595,0.1282038,0
0.3070636,0.06353891,0.02721579,0.04580636,0.1521073,0.2204071,0.0868005,0.1282038,0.1333228,0.1289914,1
0.3070636,0.06353891,0.02721579,0.04580636,0.1521073,0.2204071,0.0868005,0.1289914,0.1289914,0.1289914,0
0.359215,0.08626338,0.05896153,0.07700682,0.1754223,0.2511189,0.1102312,0.1289914,0.1606956,0.1597456,6
0.359215,0.08626338,0.03148776,0.05201112,0.1754223,0.2511189,0.1102312,0.1597456,0.1597456,0.1522499,0
0.3762039,0.09425839,0.04071092,0.06252431,0.1693625,0.2609982,0.1177056,0.1522499,0.1625151,0.160252,2
0.3762767,0.07894553,0.04524358,0.06769489,0.1734959,0.2658716,0.08957182,0.160252,0.1652161,0.1567286,1
0.4013764,0.09332032,0.03680151,0.05752893,0.1867059,0.2799737,0.1013903,0.1567286,0.1721657,0.1652996,3
0.4500815,0.1163352,0.0432728,0.06244531,0.2110348,0.3066294,0.1238943,0.1652996,0.1946739,0.1876705,6
0.4500815,0.09609263,0.0432728,0.06244531,0.2110348,0.3066294,0.1238943,0.1876705,0.1876705,0.1847787,0
0.5040174,0.1341065,0.07916278,0.09746902,0.2256252,0.3353941,0.1492297,0.1847787,0.2206973,0.2178578,7
0.5040174,0.1341065,0.04965561,0.07139223,0.2256252,0.3353941,0.1492297,0.2178578,0.2178578,0.2099172,0
0.5040174,0.1341065,0.04965561,0.07139223,0.2256252,0.3353941,0.1492297,0.2099172,0.2099172,0.2099172,0
0.518859,0.1410765,0.03273226,0.05633405,0.2344521,0.3432681,0.1558885,0.2099172,0.2194663,0.2118015,2
0.5752122,0.1675523,0.08418978,0.09670088,0.2707127,0.3734935,0.1824661,0.2118015,0.251362,0.2500468,8
0.581978,0.1707136,0.07217833,0.07510992,0.2729455,0.3770013,0.1854808,0.2500468,0.2542017,0.2479154,1
0.6272036,0.188415,0.07557068,0.0823555,0.3058625,0.4010028,0.2076026,0.2479154,0.2794006,0.2697161,7
0.6575867,0.1857359,0.06636865,0.07998701,0.3270063,0.4172201,0.2227971,0.2697161,0.2913453,0.2795288,5
0.6634945,0.1643683,0.07061045,0.08494638,0.3319065,0.4203057,0.2254357,0.2795288,0.2836312,0.2801525,1
0.6750501,0.1707226,0.05206715,0.06887146,0.3406452,0.4264338,0.2306425,0.2801525,0.288562,0.2806333,2
0.6974766,0.185201,0.07221169,0.08892426,0.3337654,0.4383019,0.2407847,0.2806333,0.2968079,0.2938094,4
0.6974766,0.1610526,0.07221169,0.08892426,0.3337654,0.4383019,0.2407847,0.2938094,0.2938094,0.2903596,0
0.7082535,0.1696893,0.08339012,0.09863852,0.3446239,0.4442093,0.2458999,0.2903596,0.2992435,0.2992435,2
0.7082535,0.1696893,0.08339012,0.09863852,0.3258013,0.4442093,0.2458999,0.2992435,0.2992435,0.2965546,0
0.7082535,0.1464313,0.08339012,0.09863852,0.3258013,0.4442093,0.2458999,0.2965546,0.2965546,0.293232,0
0.7136385,0.1414958,0.06367387,0.07696448,0.3285606,0.4471345,0.2483371,0.293232,0.2969014,0.2885436,1
0.7136385,0.1414958,0.06367387,0.07696448,0.2960182,0.4471345,0.2483371,0.2885436,0.2885436,0.2838946,0
0.724253,0.1150925,0.04305344,0.06148625,0.3016477,0.4528327,0.2531498,0.2838946,0.2913271,0.2787879,2
0.7346993,0.1247217,0.05258109,0.07177974,0.2883964,0.458451,0.2578823,0.2787879,0.2865342,0.2840731,2
0.7499148,0.1354148,0.04747915,0.06137023,0.294764,0.4666379,0.2648356,0.2840731,0.2950273,0.2886309,3
0.7596232,0.1468263,0.05827704,0.07173359,0.3061516,0.4721411,0.2711807,0.2886309,0.2979905,0.2979905,2
0.7644021,0.1418743,0.06307061,0.07683191,0.3102506,0.474881,0.2734097,0.2979905,0.3018633,0.3006743,1
0.7830731,0.1553535,0.08231901,0.0965386,0.2891758,0.4853586,0.2824221,0.3006743,0.3150654,0.3106058,4
0.7876151,0.1586375,0.08788627,0.1013428,0.2933356,0.4880043,0.2857701,0.3106058,0.314656,0.314656,1
0.8008612,0.1726662,0.1066051,0.1153782,0.3069714,0.4955992,0.2953977,0.314656,0.3276398,0.3276398,3
0.805081,0.1715038,0.1128966,0.1199479,0.3128078,0.4980214,0.2975932,0.3276398,0.3324573,0.3311217,1
0.805081,0.1715038,0.1128966,0.1199479,0.3128078,0.4980214,0.2975932,0.3311217,0.3311217,0.3311217,0
0.805081,0.1481418,0.09098244,0.0926173,0.3128078,0.4980214,0.2975932,0.3311217,0.3311217,0.3207493,0
0.805081,0.1481418,0.09098244,0.0926173,0.3128078,0.4980214,0.2975932,0.3207493,0.3207493,0.3207493,0
0.8093991,0.1313892,0.09742478,0.09745424,0.3194644,0.5006195,0.2996187,0.3207493,0.3253881,0.3221957,1
0.8257902,0.1452964,0.1182759,0.1162427,0.3388484,0.5100728,0.3080771,0.3221957,0.3375148,0.3375148,4
0.8299065,0.1313202,0.1224555,0.1208117,0.3446955,0.5125716,0.3100256,0.3375148,0.3420185,0.3388267,1
0.8299065,0.1313202,0.1224555,0.1208117,0.3446955,0.5125716,0.3100256,0.3388267,0.3388267,0.3388267,0
0.8299065,0.1313202,0.09241781,0.09342178,0.3446955,0.5125716,0.3100256,0.3388267,0.3388267,0.3306227,0
0.8299065,0.1313202,0.09241781,0.09342178,0.3446955,0.5125716,0.3100256,0.3306227,0.3306227,0.3306227,0
0.8299065,0.1313202,0.09241781,0.09342178,0.3446955,0.5125716,0.3100256,0.3306227,0.3306227,0.3306227,0
0.8299065,0.1313202,0.09241781,0.09342178,0.3446955,0.5125716,0.3100256,0.3306227,0.3306227,0.3306227,0
0.8299065,0.1313202,0.09241781,0.09342178,0.3181805,0.5125716,0.3100256,0.3306227,0.3306227,0.3268349,0
0.8299065,0.1313202,0.09241781,0.09342178,0.2834202,0.5125716,0.3100256,0.3268349,0.3268349,0.3218691,0
0.8377616,0.1189758,0.1009017,0.1030271,0.291451,0.5171551,0.3143453,0.3218691,0.3293169,0.3262311,2
0.853429,0.1383111,0.1234337,0.1216254,0.311801,0.5265207,0.3229227,0.3262311,0.3425777,0.3425777,4
0.853429,0.1383111,0.1234337,0.1216254,0.311801,0.5265207,0.3229227,0.3425777,0.3425777,0.3425777,0
0.853429,0.1383111,0.1234337,0.1216254,0.311801,0.5265207,0.3229227,0.3425777,0.3425777,0.3425777,0
0.853429,0.1383111,0.1234337,0.1216254,0.2941121,0.5265207,0.3229227,0.3425777,0.3425777,0.3400507,0
0.853429,0.1383111,0.1234337,0.1216254,0.2941121,0.5265207,0.3229227,0.3400507,0.3400507,0.3400507,0
0.8573126,0.1417705,0.1304084,0.1261386,0.2724786,0.5288832,0.325273,0.3400507,0.344096,0.3403236,1
0.8647565,0.1508215,0.1404856,0.1349767,0.2777213,0.5333001,0.3289152,0.3403236,0.3472824,0.3472824,2
0.8718526,0.1646218,0.1490161,0.1436248,0.2856411,0.5374768,0.3333915,0.3472824,0.3550892,0.3550892,2
0.8860193,0.1700656,0.168066,0.160354,0.3042302,0.5460759,0.3408719,0.3550892,0.3692829,0.3679547,4
0.8958288,0.1866399,0.1832474,0.1724139,0.2993094,0.5520686,0.3463669,0.3679547,0.3787297,0.3765535,3
0.8958288,0.1624088,0.1832474,0.1724139,0.2993094,0.5520686,0.3463669,0.3765535,0.3765535,0.3730919,0
0.8958288,0.1624088,0.1832474,0.1724139,0.2993094,0.5520686,0.3463669,0.3730919,0.3730919,0.3730919,0
0.8958288,0.1624088,0.1832474,0.1724139,0.281924,0.5520686,0.3463669,0.3730919,0.3730919,0.3706083,0
0.8990436,0.1656215,0.1866813,0.1763406,0.2547485,0.553966,0.3480535,0.3706083,0.3735997,0.3692079,1
0.8990436,0.1656215,0.1627811,0.1458232,0.2547485,0.553966,0.3480535,0.3692079,0.3692079,0.3614339,0
0.9088358,0.142584,0.1588912,0.1288906,0.2629856,0.5599712,0.353049,0.3614339,0.3706095,0.3593154,3
0.8756352,0.109659,0.1588912,0.1288906,0.2629856,0.5599712,0.3163801,0.3593154,0.3593154,0.3446304,0
0.8861279,0.1003364,0.1433599,0.113479,0.2714916,0.565735,0.3220082,0.3446304,0.3539421,0.3432197,3
0.8894279,0.1042014,0.1467668,0.1180657,0.2586646,0.5676143,0.3238581,0.3432197,0.3463511,0.3440855,1
0.9066175,0.122907,0.1735078,0.1403697,0.2471231,0.5773581,0.3352995,0.3440855,0.3623448,0.3575975,5
0.9132808,0.1091004,0.1822499,0.1489169,0.253745,0.5811866,0.3390388,0.3575975,0.3640757,0.3610741,2
0.9196258,0.1165992,0.1882544,0.1572202,0.2584676,0.5847486,0.3424965,0.3610741,0.3667732,0.3667732,2
0.9196258,0.09634195,0.1698471,0.1279307,0.2584676,0.5847486,0.3424965,0.3667732,0.3667732,0.3570654,0
0.9288494,0.11958,0.1818535,0.1410863,0.2733978,0.5901784,0.3482874,0.3570654,0.3690332,0.3690332,3
0.9320743,0.1232371,0.1532275,0.1168518,0.2765801,0.592109,0.3504342,0.3690332,0.3721862,0.363502,1
0.9380828,0.1326676,0.1477339,0.09846348,0.28728,0.5957287,0.3558499,0.363502,0.3713527,0.3651152,2
