platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.01738053,0.01738053,0.01738053,0.01757899,0.01738053,0.01738053,0.01738053,0,0.01740888,0.01740888,2
0.03466072,0.03466072,0.03484169,0.03506601,0.03466072,0.03466072,0.03466072,0.01740888,0.03474448,0.03474448,2
0.04326237,0.04326237,0.04369368,0.04376953,0.04326237,0.04326237,0.04326237,0.03474448,0.04339644,0.04339644,1
0.1027434,0.1027262,0.1038599,0.1040425,0.1021518,0.1027262,0.1031277,0.04339644,0.1032353,0.103054,7
0.1111334,0.110044,0.1122402,0.1125666,0.1109392,0.1111104,0.1115106,0.103054,0.1115159,0.1113635,1
0.119489,0.1184033,0.1193168,0.1195683,0.1194133,0.1196231,0.1198648,0.1113635,0.1198095,0.1193827,1
0.1690437,0.1679424,0.1693019,0.1684045,0.1706368,0.1697624,0.1700074,0.1193827,0.1697317,0.1692999,6
0.1690437,0.1667329,0.1693019,0.1684045,0.1706368,0.1697624,0.1700074,0.1692999,0.1692999,0.1691271,0
0.2259206,0.2244683,0.2257834,0.2241696,0.2289912,0.2272253,0.2266084,0.1691271,0.2266339,0.2261667,7
0.2737238,0.2725615,0.2742488,0.2705529,0.2792678,0.2760282,0.2744093,0.2261667,0.2749908,0.2743989,6
0.2891474,0.2879757,0.2888314,0.2843726,0.2954266,0.2918027,0.2902158,0.2743989,0.2902273,0.2896818,2
0.3200208,0.3207453,0.3216336,0.3159575,0.326723,0.3233426,0.3211537,0.2896818,0.3215446,0.3213681,4
0.3200208,0.3190675,0.3201674,0.3138947,0.326723,0.3233426,0.3211537,0.3213681,0.3213681,0.3206243,0
0.3275379,0.3265809,0.3276756,0.3216312,0.3327164,0.3308359,0.3286573,0.3206243,0.328242,0.3279479,1
0.3424497,0.3415017,0.341666,0.3348221,0.3477708,0.3457164,0.3435585,0.3279479,0.3429748,0.3424979,2
0.3572191,0.3557525,0.3550407,0.3478451,0.3624888,0.3604544,0.3583173,0.3424979,0.35732,0.3567311,2
0.3645501,0.3612599,0.3623823,0.3553837,0.3697939,0.3677695,0.3656428,0.3567311,0.3640876,0.363826,1
0.3797701,0.3756958,0.3776493,0.3685699,0.3867655,0.3834946,0.3809232,0.363826,0.3798324,0.3789812,2
0.3797701,0.3756958,0.3760826,0.3664223,0.3867655,0.3834946,0.3809232,0.3789812,0.3789812,0.3784506,0
0.3797701,0.3738174,0.3760826,0.3664223,0.3867655,0.3834946,0.3809232,0.3784506,0.3784506,0.3781822,0
0.3945369,0.3885971,0.3918522,0.381502,0.402449,0.3986918,0.3957851,0.3781822,0.3934264,0.3933448,2
0.3945369,0.3885971,0.3906897,0.3793173,0.402449,0.3986918,0.3957851,0.3933448,0.3933448,0.3928667,0
0.4299154,0.4243889,0.4265139,0.4139395,0.4387432,0.4346318,0.4319203,0.3928667,0.4291956,0.428579,5
0.4438296,0.4371988,0.4390653,0.4260747,0.4537667,0.4484664,0.4457837,0.428579,0.4427145,0.4420264,2
0.4507163,0.4441209,0.4464387,0.4332388,0.4605999,0.4553282,0.4526599,0.4420264,0.4490147,0.4490147,1
0.4507163,0.4441209,0.4464387,0.4332388,0.4594533,0.4553282,0.4526599,0.4490147,0.4490147,0.4488509,0
0.471154,0.4646652,0.4669801,0.4545186,0.4785181,0.4756911,0.4730662,0.4488509,0.4694034,0.4692276,3
0.4860102,0.4779106,0.4825852,0.467247,0.4956049,0.4912862,0.4870068,0.4692276,0.4848225,0.4839501,2
0.4860102,0.4779106,0.4825852,0.467247,0.4956049,0.4912862,0.4870068,0.4839501,0.4839501,0.4839501,0
0.4931469,0.4832775,0.48853,0.4719721,0.5040842,0.4988126,0.4937679,0.4839501,0.4915042,0.490513,1
0.4931469,0.4820266,0.4874124,0.4695623,0.5040842,0.4988126,0.4937679,0.490513,0.490513,0.4898304,0
0.5071471,0.4989584,0.5034317,0.4840535,0.5178611,0.513598,0.5070684,0.4898304,0.504941,0.5045883,2
0.5071471,0.4982211,0.5034317,0.4840535,0.5178611,0.513598,0.5070684,0.5045883,0.5045883,0.504483,0
0.5071471,0.4982211,0.5034317,0.4840535,0.5178611,0.513598,0.5070684,0.504483,0.504483,0.504483,0
0.5071471,0.4974851,0.5020003,0.4816407,0.5178611,0.513598,0.5070684,0.504483,0.504483,0.5038286,0
0.5071471,0.4974851,0.5020003,0.4816407,0.5152139,0.513598,0.5070684,0.5038286,0.5038286,0.5034505,0
0.526674,0.5181848,0.5215027,0.4999063,0.5356654,0.5334956,0.5271074,0.5034505,0.5237631,0.5232195,3
0.5394897,0.5303036,0.5336171,0.5110344,0.5485781,0.5465012,0.5402932,0.5232195,0.536373,0.5356882,2
0.5394897,0.5303036,0.5336171,0.5110344,0.5456147,0.5465012,0.5402932,0.5356882,0.5356882,0.5352648,0
0.5458422,0.5367091,0.540508,0.5177481,0.5519316,0.552813,0.5466411,0.5352648,0.5417419,0.5417419,1
0.5458422,0.5367091,0.540508,0.5177481,0.5505573,0.552813,0.5466411,0.5417419,0.5417419,0.5415456,0
0.5646787,0.5530425,0.5581745,0.5351264,0.5693114,0.5715277,0.5654635,0.5415456,0.5605476,0.5596178,3
0.5646787,0.5530425,0.5581745,0.5351264,0.567847,0.5715277,0.5654635,0.5596178,0.5596178,0.5594086,0
0.5646787,0.5522075,0.5581745,0.5351264,0.567847,0.5715277,0.5654635,0.5594086,0.5594086,0.5592893,0
0.5716835,0.5607556,0.5666742,0.5423842,0.5748705,0.5788107,0.5720107,0.5592893,0.5669538,0.5667413,1
0.5716835,0.5607556,0.5652501,0.5398831,0.5748705,0.5788107,0.5720107,0.5667413,0.5667413,0.5661806,0
0.5716835,0.5599056,0.5636184,0.5372057,0.5748705,0.5788107,0.5720107,0.5661806,0.5661806,0.5654436,0
0.5716835,0.5599056,0.5636184,0.5372057,0.5734004,0.5788107,0.5720107,0.5654436,0.5654436,0.5652336,0
0.5852633,0.5763299,0.578848,0.5488559,0.5893886,0.5930244,0.5842984,0.5652336,0.5799612,0.5794298,2
0.5918196,0.5854492,0.5865899,0.5557365,0.5953956,0.599936,0.5903876,0.5794298,0.5867419,0.5864735,1
0.6119598,0.6069117,0.6077914,0.5735578,0.6190628,0.6211547,0.6097874,0.5864735,0.6080238,0.6071751,3
0.6119598,0.6069117,0.606204,0.5709975,0.6190628,0.6211547,0.6097874,0.6071751,0.6071751,0.6065826,0
0.6182296,0.6130334,0.6135001,0.5776528,0.6268029,0.6278538,0.6157239,0.6065826,0.6133937,0.6132566,1
0.6182296,0.6130334,0.61215,0.5751017,0.6268029,0.6278538,0.6157239,0.6132566,0.6132566,0.6126994,0
0.6365085,0.6301023,0.6325523,0.5944222,0.6474159,0.6442989,0.6339056,0.6126994,0.6319274,0.6313151,3
0.6553113,0.6454529,0.65246,0.6117743,0.6687242,0.6639442,0.6527904,0.6313151,0.6511135,0.6500654,3
0.6553113,0.6423309,0.65246,0.6117743,0.6687242,0.6639442,0.6527904,0.6500654,0.6500654,0.6496194,0
0.6553113,0.6423309,0.6510312,0.6091559,0.6687242,0.6639442,0.6527904,0.6496194,0.6496194,0.6490412,0
0.6666059,0.6537735,0.6627998,0.6215127,0.6768336,0.6751222,0.6645063,0.6490412,0.6607092,0.6601649,2
0.6666059,0.6537735,0.6616029,0.6188874,0.6768336,0.6751222,0.6645063,0.6601649,0.6601649,0.6596189,0
0.6621958,0.6537735,0.6616029,0.6188874,0.6768336,0.6751222,0.660109,0.6596189,0.6596189,0.6583606,0
0.6789433,0.6695861,0.6768907,0.634326,0.6933115,0.6916317,0.6768948,0.6583606,0.6752751,0.674512,3
0.6858216,0.6777309,0.6839087,0.6388376,0.7018284,0.6988433,0.6837111,0.674512,0.6821104,0.6815259,1
0.6858216,0.6777309,0.6823395,0.6359852,0.7018284,0.6988433,0.6837111,0.6815259,0.6815259,0.6808943,0
0.6858216,0.6758447,0.6823395,0.6359852,0.7018284,0.6988433,0.6837111,0.6808943,0.6808943,0.6806248,0
0.6923825,0.6839658,0.6907803,0.6429176,0.7086997,0.7056755,0.6902681,0.6806248,0.687991,0.6878128,1
0.6923825,0.6828437,0.6894221,0.6402776,0.7086997,0.7056755,0.6902681,0.6878128,0.6878128,0.6870813,0
0.6923825,0.6828437,0.6873583,0.6371424,0.7086997,0.7056755,0.6902681,0.6870813,0.6870813,0.6863385,0
0.6987531,0.6909379,0.6945078,0.6412795,0.7163199,0.7124113,0.6963217,0.6863385,0.6934699,0.6929331,1
0.7180374,0.7121499,0.7172751,0.6591853,0.7402285,0.7325543,0.7147259,0.6929331,0.7140245,0.7134509,3
0.7364135,0.7317404,0.7380698,0.6753651,0.7622637,0.7519768,0.7311094,0.7134509,0.7337686,0.7324198,3
0.7364135,0.7296389,0.7380698,0.6753651,0.7622637,0.7491529,0.7311094,0.7324198,0.7324198,0.7317163,0
0.7364135,0.7296389,0.7353766,0.671887,0.7622637,0.7491529,0.7311094,0.7317163,0.7317163,0.7308345,0
0.7364135,0.7296389,0.7353766,0.671887,0.7622637,0.7491529,0.7311094,0.7308345,0.7308345,0.7308345,0
0.7364135,0.728398,0.7353766,0.671887,0.7622637,0.7491529,0.7311094,0.7308345,0.7308345,0.7306573,0
0.7364135,0.728398,0.7353766,0.671887,0.7611458,0.7491529,0.7311094,0.7306573,0.7306573,0.7304977,0
0.7579246,0.7513186,0.7612751,0.6955739,0.7871938,0.771834,0.7525168,0.7304977,0.7541345,0.7539481,4
0.7735983,0.7662805,0.7773883,0.7098937,0.8040628,0.7880813,0.7684107,0.7539481,0.770485,0.7696737,3
0.7834434,0.774816,0.7874832,0.7182884,0.8147084,0.7982855,0.7789111,0.7696737,0.7801844,0.7794194,2
0.7931381,0.7858396,0.7959424,0.7265267,0.8242719,0.808093,0.7886623,0.7794194,0.789557,0.7889249,2
0.7979402,0.7906871,0.8011766,0.7320049,0.8242894,0.8128018,0.7939085,0.7889249,0.7939142,0.7932583,1
0.8074546,0.8002917,0.8104286,0.7399185,0.833477,0.8221317,0.8034731,0.7932583,0.8030354,0.8024536,2
0.8121673,0.8050491,0.8151228,0.7452841,0.8382832,0.8267531,0.8082107,0.8024536,0.8072672,0.8072672,1
