platform_length,double_jump_frequency,sawblade_spread,sawblade_density,spike_length,trap_frequency,slide_length,Entry Rank,Highest Rank,Final Rank,Score
0.02736425,0.01533102,0.01627609,0.03058892,0.01572143,0.0269044,0.0155197,0,0.02110083,0.02110083,12
0.04687568,0.02650101,0.02008809,0.04464792,0.02842386,0.04610495,0.02668513,0.02110083,0.03650588,0.03418952,9
0.06766655,0.03859895,0.03367533,0.06806049,0.0418585,0.06660965,0.03886851,0.03418952,0.05076257,0.05076257,10
0.1008984,0.05906375,0.05557089,0.1053467,0.06447002,0.09944491,0.05871033,0.05076257,0.07764357,0.07764357,17
0.110276,0.06473304,0.05362923,0.1078713,0.07119379,0.1087106,0.06438405,0.07764357,0.08535913,0.08297114,5
0.110276,0.06473304,0.05362923,0.1078713,0.06264459,0.1087106,0.06438405,0.08297114,0.08297114,0.08174983,0
0.1140214,0.06698094,0.04772054,0.1041816,0.06490786,0.1124049,0.06663368,0.08174983,0.084759,0.08240728,2
0.1177457,0.06921765,0.05005458,0.1084659,0.06715488,0.1160731,0.06887212,0.08240728,0.08536915,0.08536915,2
0.1177457,0.06921765,0.05005458,0.1084659,0.06715488,0.1160731,0.06887212,0.08536915,0.08536915,0.08536915,0
0.1611745,0.09910922,0.07427853,0.1499813,0.09872941,0.1591041,0.09763315,0.08536915,0.1223743,0.1200015,25
0.1661824,0.102229,0.06889331,0.1476588,0.10269,0.1640597,0.1007632,0.1200015,0.1241881,0.1217823,3
0.1661824,0.102229,0.06889331,0.1476588,0.10269,0.1640597,0.1007632,0.1217823,0.1217823,0.1217823,0
0.1661824,0.102229,0.06889331,0.1476588,0.10269,0.1640597,0.1007632,0.1217823,0.1217823,0.1217823,0
0.1661824,0.102229,0.06889331,0.1476588,0.10269,0.1640597,0.1007632,0.1217823,0.1217823,0.1217823,0
0.1743264,0.1084992,0.07531557,0.1572092,0.1081953,0.1721536,0.1061375,0.1217823,0.1288338,0.1288338,5
0.1743264,0.1000773,0.07531557,0.1572092,0.1081953,0.1721536,0.1061375,0.1288338,0.1288338,0.1276307,0
0.1886073,0.1099095,0.07798643,0.1656964,0.1179049,0.186353,0.115288,0.1276307,0.1398384,0.1373922,9
0.1948698,0.1066263,0.07445543,0.164915,0.1220258,0.1925598,0.1192951,0.1373922,0.1428899,0.1392496,4
0.2010488,0.1112682,0.07887474,0.1723549,0.1264025,0.1986846,0.1232664,0.1392496,0.1445572,0.1445572,4
0.2025595,0.104401,0.0713992,0.1659671,0.1276535,0.2001879,0.1242991,0.1445572,0.1459772,0.1423525,1
0.2130745,0.1053389,0.08053207,0.1787607,0.1362134,0.210627,0.1313495,0.1423525,0.1520479,0.1508423,7
0.2174835,0.1084155,0.08437601,0.184099,0.1401178,0.2150119,0.1343267,0.1508423,0.1548329,0.1548329,3
0.2204196,0.1104548,0.08703513,0.1876646,0.1337527,0.2179243,0.1363254,0.1548329,0.1574641,0.1562252,2
0.2204196,0.1104548,0.08703513,0.1876646,0.1250201,0.2179243,0.1363254,0.1562252,0.1562252,0.1549777,0
0.2233429,0.1124849,0.08072467,0.1829479,0.1275293,0.2208185,0.1382405,0.1549777,0.157572,0.1551555,2
0.2233429,0.1124849,0.08072467,0.1829479,0.1275293,0.2208185,0.1382405,0.1551555,0.1551555,0.1551555,0
0.2276594,0.116614,0.08449349,0.1882449,0.1314407,0.2251132,0.1413356,0.1551555,0.1592716,0.1592716,3
0.2362278,0.1146677,0.08422168,0.190437,0.1391492,0.2336056,0.1469923,0.1592716,0.1672128,0.1636145,6
0.2376308,0.1156743,0.08529928,0.1921691,0.1403161,0.2349972,0.1480012,0.1636145,0.1648697,0.1648697,1
0.2432387,0.1112194,0.0898147,0.1991177,0.1447519,0.2405611,0.1517964,0.1648697,0.1698512,0.1686429,4
0.2432387,0.1027885,0.0898147,0.1991177,0.1447519,0.2405611,0.1517964,0.1686429,0.1686429,0.1674384,0
0.2474046,0.1058827,0.09309785,0.2042796,0.1479155,0.2446906,0.1547167,0.1674384,0.1711411,0.1711411,3
0.2487711,0.1069094,0.09425176,0.20596,0.1489663,0.2460429,0.1556362,0.1711411,0.1723625,0.1723625,1
0.2529382,0.1099752,0.08874497,0.2027934,0.1523936,0.2501676,0.1583833,0.1723625,0.1760711,0.173628,3
0.2529382,0.1099752,0.08874497,0.2027934,0.1523936,0.2501676,0.1583833,0.173628,0.173628,0.173628,0
0.255639,0.1035739,0.08240107,0.1978491,0.1544105,0.2528531,0.1602052,0.173628,0.1760369,0.1724189,2
0.255639,0.1035739,0.07373051,0.1895505,0.1544105,0.2528531,0.1602052,0.1724189,0.1724189,0.1699947,0
0.2677139,0.1037875,0.0755984,0.1968331,0.1647798,0.2648009,0.1683817,0.1699947,0.1811615,0.1774136,9
0.2677139,0.09538136,0.0755984,0.1968331,0.1647798,0.2648009,0.1683817,0.1774136,0.1774136,0.1762127,0
0.27036,0.09748106,0.07806269,0.2003221,0.1665754,0.2674295,0.1702326,0.1762127,0.1786376,0.1786376,2
0.2768796,0.1026875,0.07601742,0.2005115,0.171778,0.2738939,0.1746529,0.1786376,0.1847694,0.1823458,5
0.2832935,0.1005267,0.08253822,0.2089657,0.1773405,0.2802485,0.1796374,0.1823458,0.1887106,0.1875072,5
0.2832935,0.1005267,0.08253822,0.2089657,0.168601,0.2802485,0.1796374,0.1875072,0.1875072,0.1862587,0
0.2858762,0.1026024,0.07598197,0.2040499,0.1703811,0.2828074,0.1813733,0.1862587,0.1885921,0.1861532,2
0.2884479,0.1046685,0.06947582,0.1991897,0.172154,0.2853512,0.1831024,0.1861532,0.1884895,0.1860556,2
